"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","PACP","*","Pacific Parakeet","Psittacara strenuus","PSISTR","",TRUE
"","CFPA","","Crimson-fronted Parakeet","Psittacara finschi","PSIFIN","",TRUE
"","TBPA","","Thick-billed Parrot","Rhynchopsitta pachyrhyncha","RHYPAC","",TRUE
"","MFPA","","Maroon-fronted Parrot","Rhynchopsitta terrisi","RHYTER","",TRUE
"","BAPA","","Barred Parakeet","Bolborhynchus lineola","BOLLIN","",TRUE
"","MEXP","*","Mexican Parrotlet","Forpus cyanopygius","FORCYA","",TRUE
"","SPPA","","Spectacled Parrotlet","Forpus conspicillatus","FORCON","",TRUE
"","OCPA","","Orange-chinned Parakeet","Brotogeris jugularis","BROJUG","",TRUE
"","RFPA","","Red-fronted Parrotlet","Touit costaricensis","TOUCOS","",TRUE
"","BFPA","","Blue-fronted Parrotlet","Touit dilectissimus","TOUDIL","",TRUE
"","BHOP","*","Brown-hooded Parrot","Pyrilia haematotis","PYRHAE","",TRUE
"","SHPA","","Saffron-headed Parrot","Pyrilia pyrilia","PYRPYI","*",TRUE
"","BHEP","*","Blue-headed Parrot","Pionus menstruus","PIOMEN","",TRUE
"","WCPA","","White-crowned Parrot","Pionus senilis","PIOSEN","",TRUE
"","WFPA","","White-fronted Parrot","Amazona albifrons","AMAALB","",TRUE
"","YLPA","","Yellow-lored Parrot","Amazona xantholora","AMAXAN","",TRUE
"","RCPA","","Red-crowned Parrot","Amazona viridigenalis","AMAVIR","*",TRUE
"","LCPA","","Lilac-crowned Parrot","Amazona finschi","AMAFIN","",TRUE
"","RLPA","","Red-lored Parrot","Amazona autumnalis","AMAAUT","",TRUE
"","MEAP","*","Mealy Parrot","Amazona farinosa","AMAFAR","",TRUE
"","YHPA","","Yellow-headed Parrot","Amazona oratrix","AMAORA","",TRUE
"","YNPA","","Yellow-naped Parrot","Amazona auropalliata","AMAAUR","",TRUE
"","YCRP","*","Yellow-crowned Parrot","Amazona ochrocephala","AMAOCH","",TRUE
"","SAPA","","Sapayoa","Sapayoa aenigma","SAPAEN","",TRUE
"","FAAN","","Fasciated Antshrike","Cymbilaimus lineatus","CYMLIN","",TRUE
"","GANT","*","Great Antshrike","Taraba major","TARMAJ","",TRUE
"","BAAN","","Barred Antshrike","Thamnophilus doliatus","THADOL","",TRUE
"","BLAN","","Black Antshrike","Thamnophilus nigriceps","THANIG","",TRUE
"","BHOA","*","Black-hooded Antshrike","Thamnophilus bridgesi","THABRI","",TRUE
"","BCAS","*","Black-crowned Antshrike","Thamnophilus atrinucha","THAATR","",TRUE
"","SFAN","","Spiny-faced Antshrike","Xenornis setifrons","XENSET","",TRUE
"","RUAN","","Russet Antshrike","Thamnistes anabatinus","THAANA","",TRUE
"","PLAN","","Plain Antvireo","Dysithamnus mentalis","DYSMEN","",TRUE
"","STCA","*","Streak-crowned Antvireo","Dysithamnus striaticeps","DYSSTR","",TRUE
"","SPCA","*","Spot-crowned Antvireo","Dysithamnus puncticeps","DYSPUN","",TRUE
"","MOAN","","Moustached Antwren","Myrmotherula ignota","MYRIGN","",TRUE
"","PAAN","","Pacific Antwren","Myrmotherula pacifica","MYRPAC","",TRUE
"","WFLA","*","White-flanked Antwren","Myrmotherula axillaris","MYRAXI","",TRUE
"","SLAN","","Slaty Antwren","Myrmotherula schisticolor","MYRSCH","",TRUE
"","RWAN","","Rufous-winged Antwren","Herpsilochmus rufimarginatus","HERRUF","",TRUE
"","DWAN","","Dot-winged Antwren","Microrhopias quixensis","MICQUI","",TRUE
"","WFRA","*","White-fringed Antwren","Formicivora grisea","FORGRI","",TRUE
"","RRAN","","Rufous-rumped Antwren","Euchrepomis callinota","EUCCAL","",TRUE
"","DUAN","","Dusky Antbird","Cercomacroides tyrannina","CERTYR","",TRUE
"","JEAN","","Jet Antbird","Cercomacra nigricans","CERNIG","",TRUE
"","BACA","*","Bare-crowned Antbird","Gymnocichla nudiceps","GYCNUD","*",TRUE
"","WBEA","*","White-bellied Antbird","Myrmeciza longipes","MYRLON","",TRUE
"","ZEAN","","Zeledon's Antbird","Myrmeciza zeledoni","MYRZEL","",TRUE
"","CBAN","","Chestnut-backed Antbird","Poliocrania exsul","POLEXS","",TRUE
"","DMAN","","Dull-mantled Antbird","Sipia laemosticta","SIPLAE","",TRUE
"","SPAN","","Spotted Antbird","Hylophylax naevioides","HYLNAE","",TRUE
"","WBAA","*","Wing-banded Antbird","Myrmornis torquata","MYRTOR","",TRUE
"","BIAN","","Bicolored Antbird","Gymnopithys bicolor","GYMBIC","",TRUE
"","OCAN","","Ocellated Antbird","Phaenostictus mcleannani","PHAMCL","",TRUE
"","BCAP","*","Black-crowned Antpitta","Pittasoma michleri","PITMIC","",TRUE
"","SCAA","*","Scaled Antpitta","Grallaria guatimalensis","GRAGUA","",TRUE
"","SCHA","*","Streak-chested Antpitta","Hylopezus perspicillatus","HYLPER","",TRUE
"","THAN","","Thicket Antpitta","Hylopezus dives","HYLDIV","",TRUE
"","OBAN","","Ochre-breasted Antpitta","Grallaricula flavirostris","GRAFLA","",TRUE
"","TATA","","Tacarcuna Tapaculo","Scytalopus panamensis","SCYPAN","",TRUE
"","SFTA","","Silvery-fronted Tapaculo","Scytalopus argentifrons","SCYARG","",TRUE
"","BFAN","","Black-faced Antthrush","Formicarius analis","FORANA","",TRUE
"","BHEA","*","Black-headed Antthrush","Formicarius nigricapillus","FORNIG","",TRUE
"","RBAN","","Rufous-breasted Antthrush","Formicarius rufipectus","FORRUF","",TRUE
"","TTLE","","Tawny-throated Leaftosser","Sclerurus mexicanus","SCLMEX","",TRUE
"","GTLE","","Gray-throated Leaftosser","Sclerurus albigularis","SCLALB","",TRUE
"","STLE","","Scaly-throated Leaftosser","Sclerurus guatemalensis","SCLGUA","",TRUE
"","OLWO","","Olivaceous Woodcreeper","Sittasomus griseicapillus","SITGRI","",TRUE
"","LTWO","","Long-tailed Woodcreeper","Deconychura longicauda","DECLON","",TRUE
"","RUWO","","Ruddy Woodcreeper","Dendrocincla homochroa","DENHOM","",TRUE
"","TWWO","","Tawny-winged Woodcreeper","Dendrocincla anabatina","DENANA","",TRUE
"","PBRW","*","Plain-brown Woodcreeper","Dendrocincla fuliginosa","DENFUA","*",TRUE
"","WBWO","","Wedge-billed Woodcreeper","Glyphorynchus spirurus","GLYSPI","",TRUE
"","NOBW","","Northern Barred-Woodcreeper","Dendrocolaptes sanctithomae","DENSAN","",TRUE
"","BBNW","*","Black-banded Woodcreeper","Dendrocolaptes picumnus","DENPIM","*",TRUE
"","SNBW","*","Strong-billed Woodcreeper","Xiphocolaptes promeropirhynchus","XIPPRO","",TRUE
